,prod_name,prod_price,prod_sold,prod_stock
0,Duha Muslimwear  - Celana - Safaar Pleated Pants Khaki,279.000,51 Terjual,Tersedia
1,Jam Tangan Duha Muslimwear - Ashr Watch Black & Black,99.000,63 Terjual,Tersedia
2,Duha Muslimwear - Jaleel Robe,319.000,18 Terjual,Tersedia
3,Jam Tangan Duha Muslimwear - Ashr Watch Black & Brown,99.000,38 Terjual,Tersedia
4,Duha Muslimwear - Fardeen Shirt Short Sleeve,349.000,43 Terjual,Tersedia
5,Duha Muslimwear - Subhi Khaki Shirt,249.000,20 Terjual,Tersedia
6,Duha Muslimwear - Subhi Olive Shirt,249.000,11 Terjual,Tersedia
7,Duha Muslimwear - Haikaal Grey Shirt Long Sleeve,149.000,16 Terjual,Tersedia
8,Duha Muslimwear - Ghayoor Turquoise Coach Jakcet,389.000,10 Terjual,Tersedia
9,Duha Muslimwear - Aazad Shirt Short Sleeve,179.000,18 Terjual,Tersedia
10,Duha Muslimwear - Zarar Robe Brown Navy,179.000,15 Terjual,Tersedia
11,Hijab Rayon Motif Segi Empat - 7 Tahta,60.800,15 Terjual,Tersedia
12,Duha Muslimwear - Subhi Navy Shirt,249.000,10 Terjual,Tersedia
13,Duha Muslimwear - Haikaal Black Shirt Long Sleeve,149.000,9 Terjual,Tersedia
14,Kaos Duha Muslimwear - Kawn Tees,89.000,35 Terjual,Tersedia
15,Kaos Duha Muslimwear - Ashr Tees,89.000,28 Terjual,Tersedia
16,Hijab Rayon Motif Segi Empat - Tumbuh Semesta,60.800,15 Terjual,Tersedia
17,Duha Muslimwear - Sayf Olive Shirt Short Sleeve,179.000,11 Terjual,Tersedia
18,Celana Kulot Linen Premium - Veeda Pants,68.500,10 Terjual,Tersedia
19,Pasmina Polos Seruti Babydoll -  Khalidah,39.700,16 Terjual,Tersedia
20,Duha Muslimwear - Haikaal Khaki Shirt Long Sleeve,279.000,13 Terjual,Tersedia
21,Kaos Duha Muslimwear - Salaa Tees,89.000,12 Terjual,Tersedia
22,Kaos Duha Muslimwear - Jerusalem Tees,89.000,10 Terjual,Tersedia
23,Duha Muslimwear - Subhi Black Shirt,249.000,9 Terjual,Tersedia
24,Kaos Duha Muslimwear - Maktoub Tees,89.000,8 Terjual,Tersedia
25,Hijab Kotak Polos Seruti Babydoll - Kalila,39.700,15 Terjual,Tersedia
26,Kaos Duha Muslimwear - Mecca Tees,89.000,31 Terjual,Tersedia
27,Kaos Duha Muslimwear - Dzikr Tees,89.000,18 Terjual,Tersedia
28,Kaos Duha Muslimwear - Bashir Tees,89.000,10 Terjual,Tersedia
29,Hijab Rayon Motif Segi Empat - Semi Bumi,60.800,13 Terjual,Tersedia
30,Hijab Rayon Motif Segi Empat - Adam dan Hawa,60.800,5 Terjual,Tersedia
31,Baju Koko Duha Muslimwear - Hamzah Kemeja Koko Tosca,249.000,4 Terjual,Tersedia
32,Baju Muslim Duha Muslimwear - Faaz Kaos Linen Black ,279.000,3 Terjual,Tersedia
33,Baju Muslim Duha Muslimwear - Faaz Kaos Linen Khaki ,279.000,4 Terjual,Tersedia
34,Baju Muslim Duha Muslimwear - Faaz Kaos Linen Olive ,279.000,4 Terjual,Tersedia
35,Duha Muslimwear  - Celana - Safaar Pleated Pants Black,279.000,47 Terjual,Tersedia
36,Duha Muslimwear  - Kimono - Aalee Robe Navy,299.000,48 Terjual,Tersedia
37,Jam Tangan Duha Muslimwear - Ashr Watch White & Black,99.000,53 Terjual,Tersedia
38,Jam Tangan Duha Muslimwear - Ashr Watch White & Brown,99.000,81 Terjual,Tersedia
39,Duha Muslimwear  - Kimono - Aalee Robe Khaki,299.000,49 Terjual,Tersedia
40,Baju Muslim Duha Muslimwear - Faaz Kaos Linen Cream ,279.000,2 Terjual,Tersedia
41,Baju Muslim Duha Muslimwear - Bahij Kaos Linen Cream,249.000,2 Terjual,Tersedia
42,Baju Muslim Duha Muslimwear - Bahij Kaos Linen Olive,249.000,,Tersedia
43,Baju Muslim Duha Muslimwear - Bahij Kaos Linen Black,249.000,,Tersedia
44,Baju Muslim Duha Muslimwear - Bahij Kaos Linen Khaki,249.000,1 Terjual,Tersedia
45,Baju Muslim Duha Muslimwear - Faaz Kaos Linen Navy ,279.000,,Tersedia
46,Baju Koko Duha Muslimwear - Hamzah Kemeja Koko White,249.000,7 Terjual,Tersedia
47,Kaos Duha Muslimwear - Raheem Tees,89.000,2 Terjual,Tersedia
48,Baju Muslim Duha Muslimwear - Bahij Kaos Linen Navy,249.000,,Tersedia
49,Kaos Duha Muslimwear - Abd Tees,89.000,,Tersedia
50,Duha Muslimwear - Mahd Shirt Short Sleeve,389.000,46 Terjual,habis
51,Duha Muslimwear - Zarar Robe Olive Navy,319.000,35 Terjual,habis
52,Duha Muslimwear  - Kimono - Aalee Robe Black,299.000,61 Terjual,habis
53,Dress Muslimah Panjang Motif - Sherine Alma Three-Tone,449.000,66 Terjual,habis
54,Duha Muslimwear - Gulshan Robe,379.000,20 Terjual,habis
55,Dress Muslimah Panjang Motif - Tanisha Two-Tone,499.000,32 Terjual,habis
56,Duha Muslimwear - Sayf Navy Shirt Short Sleeve,389.000,19 Terjual,habis
57,Duha Muslimwear  - Kimono - Aalee Robe Olive,299.000,60 Terjual,habis
58,Duha Muslimwear - Sayf Robe,319.000,37 Terjual,habis
59,Duha Muslimwear - Ghaazi Shirt Long Sleeve,389.000,59 Terjual,habis
60,Baju Koko Motif Duha Muslimwear - Alfath Squared Shirt Black,329.000,35 Terjual,habis
61,Duha Muslimwear  - Baju Koko - Kahlel Long Sleeve Linen Shirt Khaki,229.000,72 Terjual,habis
62,Atasan Outer Wanita - Adiva,379.000,49 Terjual,habis
63,Blouse Wanita Musim Linen - Dalia,349.000,43 Terjual,habis
