,prod_name,prod_price,prod_sold,prod_rating,prod_stock
0,Baju Muslim Duha Muslimwear - Faaz Linen Cream,Rp 279.000,Terjual 5,5.0,Tersedia
1,Baju Muslim Duha Muslimwear - Bahij Linen Cream,Rp 249.000,Terjual 1,,Tersedia
2,Baju Muslim Duha Muslimwear - Faaz Linen Navy,Rp 279.000,Terjual 1,5.0,Tersedia
3,Baju Koko Duha Muslimwear - Hamzah Kemeja Koko Tosca,Rp 249.000,Terjual 5,5.0,Tersedia
4,Baju Koko Duha Muslimwear - Hamzah Kemeja Koko White,Rp 249.000,Terjual 6,5.0,Tersedia
5,Baju Muslim Duha Muslimwear - Bahij Kaos Linen Black,Rp 249.000,Terjual 2,5.0,Tersedia
6,Baju Muslim Duha Muslimwear - Bahij Kaos Linen Navy,Rp 249.000,,,Tersedia
7,Baju Muslim Duha Muslimwear - Bahij Kaos Linen Olive,Rp 249.000,,,Tersedia
8,Baju Muslim Duha Muslimwear - Bahij Kaos Linen Khaki,Rp 249.000,Terjual 1,5.0,Tersedia
9,Baju Muslim Duha Muslimwear - Faaz Kaos Linen Black,Rp 279.000,Terjual 4,5.0,Tersedia
10,Baju Muslim Duha Muslimwear - Faaz Kaos Linen Olive,Rp 279.000,Terjual 2,,Tersedia
11,Baju Muslim Duha Muslimwear - Faaz Kaos Linen Khaki,Rp 279.000,Terjual 2,3.0,Tersedia
12,Kaos Duha Muslimwear - Jerusalem Tees,Rp 249.000,Terjual 6,5.0,Tersedia
13,Kaos Duha Muslimwear - Mecca Tees,Rp 249.000,Terjual 30,4.8,Tersedia
14,Kaos Duha Muslimwear - Abd Tees,Rp 249.000,Terjual 3,,Tersedia
15,Kaos Duha Muslimwear - Raheem Tees,Rp 249.000,Terjual 2,3.5,Tersedia
16,Kaos Duha Muslimwear - Maktoub Tees,Rp 249.000,Terjual 7,5.0,Tersedia
17,Kaos Duha Muslimwear - Salaa Tees,Rp 249.000,Terjual 16,4.8,Tersedia
18,Kaos Duha Muslimwear - Dzikr Tees,Rp 249.000,Terjual 17,4.8,Tersedia
19,Kaos Duha Muslimwear - Bashir Tees,Rp 249.000,Terjual 13,4.7,Tersedia
20,Kaos Duha Muslimwear - Ashr Tees,Rp 249.000,Terjual 19,4.9,Tersedia
21,Kaos Duha Muslimwear - Kawn Tees,Rp 249.000,Terjual 22,4.6,Tersedia
22,Jam Tangan Duha Muslimwear - Ashr Watch White & Brown,Rp 99.000,Terjual 18,4.6,Tersedia
23,Jam Tangan Duha Muslimwear - Ashr Watch White & Black,Rp 99.000,Terjual 17,4.0,Tersedia
24,Jam Tangan Duha Muslimwear - Ashr Watch Black & Brown,Rp 99.000,Terjual 7,5.0,Tersedia
25,Jam Tangan Duha Muslimwear - Ashr Watch Black & Black,Rp 99.000,Terjual 11,4.2,Tersedia
26,Duha Muslimwear - Subhi Black Shirt,Rp 249.000,Terjual 5,5.0,Tersedia
27,Duha Muslimwear - Subhi Navy Shirt,Rp 249.000,Terjual 6,5.0,Tersedia
28,Duha Muslimwear - Subhi Olive Shirt,Rp 249.000,Terjual 4,5.0,Tersedia
29,Duha Muslimwear - Subhi Khaki Shirt,Rp 249.000,Terjual 2,5.0,Tersedia
30,Duha Muslimwear - Ghayoor Turquoise Coach Jakcet,Rp 179.000,Terjual 5,5.0,Tersedia
31,Duha Muslimwear - Haikaal Black Shirt Long Sleeve,Rp 149.000,Terjual 4,5.0,Tersedia
32,Duha Muslimwear - Haikaal Grey Shirt Long Sleeve,Rp 149.000,Terjual 5,4.6,Tersedia
33,Duha Muslimwear - Haikaal Khaki Shirt Long Sleeve,Rp 279.000,Terjual 10,4.7,Tersedia
34,Duha Muslimwear - Jaleel Robe,Rp 319.000,Terjual 11,5.0,Tersedia
35,Duha Muslimwear - Zarar Robe Brown Navy,Rp 179.000,Terjual 10,4.8,Tersedia
36,Duha Muslimwear - Aazad Shirt Short Sleeve,Rp 179.000,Terjual 15,4.8,Tersedia
37,Duha Muslimwear - Fardeen Shirt Short Sleeve,Rp 349.000,Terjual 20,4.8,Tersedia
38,Duha Muslimwear - Sayf Olive Shirt Short Sleeve,Rp 179.000,Terjual 8,5.0,Tersedia
39,Duha Muslimwear - Kimono - Aalee Robe Khaki,Rp 299.000,Terjual 55,4.3,Tersedia
40,Duha Muslimwear - Kimono - Aalee Robe Navy,Rp 299.000,Terjual 68,4.8,Tersedia
41,Duha Muslimwear - Celana - Safaar Pleated Pants Black,Rp 279.000,Terjual 34,4.7,Tersedia
42,Duha Muslimwear - Celana - Safaar Pleated Pants Khaki,Rp 279.000,Terjual 28,4.8,Tersedia
43,Khalidah Pashmina,Rp 36.700,Terjual 16,4.0,Tersedia
44,Kalila Hijab Segi Empat,Rp 36.700,Terjual 9,4.6,Tersedia
45,Veeda Terracotta Pants,Rp 68.446,Terjual 8,5.0,Tersedia
46,Veeda Orange Pants,Rp 68.446,Terjual 5,5.0,Tersedia
47,Tumbuh Semesta Scarf,Rp 60.800,Terjual 13,5.0,Tersedia
48,Semi Bumi Scarf,Rp 60.800,Terjual 9,5.0,Tersedia
49,Adam dan Hawa Scarf,Rp 60.800,Terjual 6,4.5,Tersedia
50,Tujuh Tahta Scarf,Rp 60.800,Terjual 16,4.7,Tersedia
51,Kaos Duha Muslimwear - Shakar Tee,Rp 139.000,Terjual 6,4.6,Stok Habis
52,Kaos Duha Muslimwear - Hayaa Tees,Rp 139.000,Terjual 4,4.7,Stok Habis
53,Kaos Duha Muslimwear - Medina Tees,Rp 99.000,Terjual 17,4.4,Stok Habis
54,Kaos Duha Muslimwear - Gaza Tees,Rp 249.000,Terjual 10,4.6,Stok Habis
